source_field,source_semantics,fhir_candidate,current_decision,information_loss_or_risk,loss_modes,needs_extension,next_review
patientId,Pseudonymous subject identifier,Patient,Use only a synthetic Patient.id and references,Identity linkage and a real NHI are intentionally absent,L1_identity,false,Consent and identity contract
actorRole,Patient caregiver or system input role,Provenance.agent or extension,Use a common actor-role extension on mapped synthetic resources,Real identity and agent reference remain absent,L1_identity;L4_resource_ambiguous,true,Provenance profile decision
occurredAt,Time at which the event occurred,Observation.effective[x] or MedicationStatement.effective[x],Use an explicit offset timestamp,Late entry and event time must remain distinct,L2_time_semantics;L4_resource_ambiguous,false,Round-trip semantic test
recordedAt,Time at which the entry was recorded,Provenance.recorded or extension,Retain in the source event and resource-specific authored or issued fields,Resource-specific Provenance linkage remains future work,L2_time_semantics;L4_resource_ambiguous,true,Provenance implementation
missingness,Observed confirmed-none not-recorded and other states,dataAbsentReason or extension,Use a common missingness extension on mapped synthetic resources and defer unsupported states,Standard codes may not cover all lifecycle states,L3_missingness;L4_resource_ambiguous,true,Terminology review
medication_taken,Observed medication-taking status,MedicationStatement,Use the existing synthetic mapping,Scheduled and actual administration semantics can be conflated,L5_local_semantics,false,Source contract and status review
daily_condition_logged,Locally defined daily condition score from 1 to 5,QuestionnaireResponse,Preserve score question time and provenance without inferring a standard code,The ordinal scale is local and not clinically validated,L5_local_semantics,false,Questionnaire and profile review
caregiver_observation,Caregiver-noted assistance fall or other observation,Observation or QuestionnaireResponse,Map only a structured fall boolean to a synthetic Observation and defer free text and other types,Domain coding and the broader observation profile remain open,L4_resource_ambiguous,false,Concept and coding review
Bowel,Paper-log bowel field,Observation or QuestionnaireResponse,Map structured bowel_movement to a synthetic QuestionnaireResponse and defer not_recorded,The definition and terminology are not stable,L4_resource_ambiguous;L5_local_semantics,false,Domain definition and terminology review
Condition_C,Paper-log condition category,Observation or QuestionnaireResponse,Do not assign a code yet,The category meaning is underspecified,L4_resource_ambiguous;L5_local_semantics,false,Domain definition review
Condition_Num,Paper-log numeric condition value,Observation,Do not map until the scale contract is confirmed,Scale direction and time window may be ambiguous,L5_local_semantics,false,Scale contract
Switchbot_Avg,Aggregated indoor temperature,Observation or DeviceMetric with environmental context,Map synthetic indoor_temperature_observed to an environmental Observation with Cel and deviceRef,It could be misread as a patient vital sign,L4_resource_ambiguous;L6_misinterpretation,false,Environmental profile
weather,External weather context,Observation or extension,Keep as context only,Terminology and provenance vary by provider,L4_resource_ambiguous,true,Context profile
Daily_Notes,Free text,Communication or QuestionnaireResponse,Exclude from the public synthetic Bundle by default,It can carry identifying text or invite unsupported clinical inference,L4_resource_ambiguous;L6_misinterpretation,false,Consent and redaction rules
consentScope,Local care-support personal-review research-aggregate or none policy,Consent or export gate,Retain in the care-event layer,Not every downstream FHIR server models local policy,L4_resource_ambiguous;L7_policy_outside_model,false,Governance mapping
